at,userName,content,score
2024-12-30 03:29:18,Pengguna Google,"gabisa login. Disuruh dekatkan wajah di depan layar, tacoba 10x gabisa anjirr. La terus harus posisi gimana coyy, padahal deteksi kek login face id, dana, bisaaaa deh GILA NI APLIKASI SERING EROR;;?!!!!;!;!!!!?!?",1
2024-12-30 03:27:18,Pengguna Google,"Aplikasi tidak berguna, fitur fitur yang seharusnya sudah ada di apk bni malah dipindah kesini, dan registrasi nya ribet dan selalu digagalkan",1
2024-12-30 02:48:28,Pengguna Google,Sebenarnya gak diperlukan. Mau lihat debit card aja gk bs mulu.,1
2024-12-30 02:43:33,Pengguna Google,Memberikan pelayanan yang baik dan mempermudah informasi,4
2024-12-30 02:31:50,Pengguna Google,baru juga donload..udah minta update.capee dehhh,2
2024-12-30 02:04:44,Pengguna Google,Mantap,5
2024-12-30 01:58:17,Pengguna Google,Mantap,5
2024-12-30 01:53:02,Pengguna Google,Aplikasi yg bagus dan membanyu,5
2024-12-30 01:35:13,Pengguna Google,Mantap,5
2024-12-30 01:33:09,Pengguna Google,"Dari semalem gak bisa, lagi genting2nya mau transaksi malah eror sampai sekarang..kesel banget🤧 malah apk BNI sebelumnya udh sya hapus skrg mau download lagi,, ribetttt",3
2024-12-30 01:14:49,Pengguna Google,"kalo dibuka lama baru bisa looding beda dgn yg aplikasi yg dulu,, mau bayar air utk kuwu timir blm bisa",4
2024-12-30 00:51:55,Pengguna Google,Mantap,5
2024-12-30 00:19:20,Pengguna Google,Mantap,5
2024-12-29 23:36:02,Pengguna Google,"BNI tolong diperbaiki, saya mau belanja di alfamart jadi mesti pulang dulu karena ada kendala padahal biasanya baik baik aja. Edit : sipp udah diperbaiki. Edit :Ini Ada kendala lagi hadehh. Oke udah",5
2024-12-29 23:23:22,Pengguna Google,good,5
2024-12-29 21:59:44,Pengguna Google,"Satu kekurangan dari aplikasi ini,tidak adanya fitur cardless yang bisa setor tunai tanpa kartu.mohon diberikan fitur tersebut di apdate berikutnya.",4
2024-12-29 20:16:48,Pengguna Google,Uda instal dan upgrade sampe ke bank..tetapi ketika mau pake selalu muncul keterangan: sesi ini sudah berakhir silahkan login ulang...pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu...g bisa login2....lebih mudah aplikasi bni mobile yang pertamaaa,1
2024-12-29 17:26:47,Pengguna Google,Nyusahin nih aplikasi sekarang top up dana sehari cuma dibatesin 1jt..padahal di setingan Uda ku atur maximal tapi tetep aja waktu transaksi tulisannya melebihi batas limit harian,1
2024-12-29 16:43:48,Pengguna Google,Transfer gak berhasil padahal saldo ada,5
2024-12-29 16:22:00,Pengguna Google,eror trs,1
2024-12-29 16:11:42,Pengguna Google,Bagus,5
2024-12-29 15:22:29,Pengguna Google,"👎 1000X AUTO UNINSTAL MENDING PAKAI APLIKASI YG LAMA, DI WONDR GAK ADA KETERANGAN UANG MASUK DAN KELUAR DR SIAPA² NYA JD BUAT SAYA YG SERING ADA UANG MASUK DAN KELUAR DR KONSUMEN DIBIKIN BINGUNG SIAPA² YG UDH SETOR ATAU BAYAR, MOHON FITUR RIWAYAT TRANSAKSI TOLONG PERBAIKI SEPERTI APP LAWAS ADA NAMA PENGIRIM UANG & BS LIAT RIWAYAT 1 HARI, SEMINGGU,1 BLN, SERTA DITAMBAH FITUR BARU YG LEBIH CANGGIH.BUKANYA NGURANGI APA YG SUDAH ADA DI APP LAMA, KURANGNYA CM DI RIWAYAT TRANSAKSI SJ. SELEBIHNYA GOOD",1
2024-12-29 15:17:43,Pengguna Google,Mending mbanking yg lama,1
2024-12-29 14:34:34,Pengguna Google,Aplikasi paling bagus dan gampang untuk transaksi,5
2024-12-29 14:21:58,Pengguna Google,"APLIKASI SUPER LELET, MENTANG MENTANG BUMN",1
2024-12-29 14:08:26,Pengguna Google,Uda mau sebulan setia kali mau top up selalu saja ada ganguan fitur lagi tidak tersedia,3
2024-12-29 13:31:30,Pengguna Google,Aplikasi tolol,4
2024-12-29 13:14:18,Pengguna Google,"Mbanking lain bisa cardless ini blum, di bni mobile pun sama saja, bener"" ketinggalan",1
2024-12-29 12:56:42,Pengguna Google,Overall sudah good. Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,4
2024-12-29 12:53:20,Pengguna Google,Bagus BNI mobil,2
2024-12-29 11:49:51,Pengguna Google,"bagus, sekarang notifikasi uang masuk atau keluar sudah lebih cepat muncul tanpa delay lama seperti dulu",5
2024-12-29 10:38:19,Pengguna Google,Susah masuk,2
2024-12-29 10:25:48,Pengguna Google,"Akhirnya yg ditunggu tunggu, awalnya sulit dibuka sekarang makin baik. Mantaplah Wondr by BNI",5
2024-12-29 10:11:32,Pengguna Google,Gak jelas aplikasi saran BNI ini . Saya menggunakan transaksi melalui qiris. Di pemberitahuan nya pembayaran melalui qiris belum hasil . Tau tau saldo udah berkurang. Pulsa 30 rb habis buat nelpon call center bni . Tanggapan nya 20 hari kerja . Hadehhh parahhh banget,1
2024-12-29 08:51:40,Pengguna Google,Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali..,3
2024-12-29 08:47:43,Pengguna Google,"Gak recommended sekelas BNI, cardless tidak ada, login ulang setelah ganti device susah bgd pas verifikasi wajah, suruh ulang tiap hari, sering bgd error juga, menghambat aktifitas👎",1
2024-12-29 07:35:32,Pengguna Google,"Tolong perbaiki, masa saat saya sedang membuat password pada akun baru, layar sya ghost touch aneh banget, aplikasi lain normal hanya ini saja yg error",5
2024-12-29 06:33:43,Pengguna Google,"login biometrik stuck di s&k doang, pdhal udh di klik ""Saya Setuju"" tapi ga muncul sidik jari nya, ribet kalo harus ngetik kata sandi tiap mau masuk",2
2024-12-29 06:31:06,Pengguna Google,Gagal login terus makin gajelas,1
2024-12-29 04:26:50,Pengguna Google,min.ini gimana si!!aku udah bikin akun loh!tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi!!!!!!dan saya gabiaa login...ayolah yang bener aja.masa harus terus teruaan bikin aiun baru!!!!!!,1
2024-12-29 04:14:19,Pengguna Google,mana fitur tarik tunai nya??,1
2024-12-29 03:21:22,Pengguna Google,"kenapa verifikasi ektp gagal trus, padahal udah bener ktp sama terang",3
2024-12-29 02:27:42,Pengguna Google,Wonder saya tidak bisa terbaca tf orng lain bosku,3
2024-12-29 02:22:54,Pengguna Google,"Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun, setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi, setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa, di suruh lanjut lagi besok, setelah besok nya saya lanjut kan mlh ttp tidak bisa, di suruh lanjut besok lagi, gitu aja terus",1
2024-12-29 01:50:37,Pengguna Google,Gimana cara mengganti no hp lewat app wondr? No lama saya sudah mati.,3
2024-12-29 01:47:56,Pengguna Google,Lumayan bagus,5
2024-12-29 00:11:23,Pengguna Google,mantab bni,5
2024-12-29 00:03:56,Pengguna Google,Ayo menunya dilengkapi lagi masak gag ada mobile tunai kayak bni mobile,5
2024-12-28 23:34:46,Pengguna Google,"Saya abis tranfer uang ke bang lain tapi gagal, saldonya belum balik lagi ke rekening BNI nya, total tranfer nya 7jt, tolong min bantu",1
2024-12-28 23:20:54,Pengguna Google,Ga bisa di pakai transaksi,1
2024-12-28 21:29:41,Pengguna Google,Andalan semua bangsa,5
2024-12-28 17:32:09,Pengguna Google,Aplikasi yg buruk Setelah setor pertama Rekening di bekukan secara sepihak Saldo tertinggal di rekening,1
2024-12-28 17:00:17,Pengguna Google,Di atas jam 23.00 transaksi gagal terus. Tolong di perbaiki,1
2024-12-28 16:10:14,Pengguna Google,"mohon maaf, bintang 1 dulu. alasannya sering perbaikan dan error. semoga cepat diperbaiki!",1
2024-12-28 15:54:06,Pengguna Google,Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng. Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,4
2024-12-28 15:15:38,Pengguna Google,cepat,5
2024-12-28 12:26:10,Pengguna Google,gimana si kok gak bisa transaksi lagi perbaikan mulu udah lama lagi kapan baiknya coba,3
2024-12-28 11:52:27,Pengguna Google,"Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi , di coba lagi suruh munggu lagi besok, gitu aja terus sampai gajahnya menikah hadeeeh",1
2024-12-28 11:26:54,Pengguna Google,"Sudah ada mbangking ngapain hrs nambah"" aplikasi baru, bikin ribet hidup aja",1
2024-12-28 11:25:26,Pengguna Google,Kenapa di saat mau top up eror tolong di perbaiki 🙏,3
2024-12-28 10:11:37,Pengguna Google,Ngestak di awal,5
2024-12-28 09:05:41,Pengguna Google,Mantap dan Sangat membantu,5
2024-12-28 08:51:58,Pengguna Google,Ok bagus,5
2024-12-28 08:42:48,Pengguna Google,App wordr sering gangguan... Tidak bisa di buka pakai wifi tetapi bisa di buka pakai paket internet... Gimana app ini,3
2024-12-28 07:25:37,Pengguna Google,Senangkan,5
2024-12-28 07:25:20,Pengguna Google,Maaf sebelumnya kenapa mau login ga bisa terus?? Dan harus pembaruan baru bisa masuk. Padahal belum sebulan udah perbaruan. Dan sering error tiba-tiba padahal sinyal masih bagus,1
2024-12-28 07:20:07,Pengguna Google,pingin nyoba aplikasi terbaru dari bni,4
2024-12-28 06:14:49,Pengguna Google,"Ribet. Tiap mw tfr, minta log in dr awal, foto ktp, nengok kanaan, kiri.. trs otomatis klwr dr apk nya.. bukan memudahkan, tp bkin ribet. Untung mbanking blm ku hapus..",1
2024-12-28 05:59:45,Pengguna Google,Sangat baik,5
2024-12-28 05:26:09,Pengguna Google,Eror terusvuntuk hp saya .2 hari tdk bisa login..tertulis ada kèndala..tim kami lagi service.dan di coba lagi..,1
2024-12-28 05:02:04,Pengguna Google,"Aduh bni udh bener lama aja.. Tiba2 dipaksa ke wonder kualitas ga jelas logout sendiri,..",1
2024-12-28 05:01:37,Pengguna Google,"Aplikasi tidak berguna, mau masuk saja dipersulit padahal sudah benar nomor hp dan ktp. Tinggal verifikasi wajah tidak pernah berhasil.",1
2024-12-28 04:53:08,Pengguna Google,GALAAIIIII TIDAK ADA FITUR TARIK TUNAI MOBILE BNI,1
2024-12-28 04:52:41,Pengguna Google,Tidak bisa melihat berita atau keterangan transaksi yang masuk apa / berita transfer masuk tidak ada.😇😇🤭🤦 Beda dengan aplikasi yang lama Lebih bagus aplikasi BNI yg lama uraian lebih detail berita atau keterangan transaksi nya.,1
2024-12-28 04:45:55,Pengguna Google,"Jelek banget bagusan yang dulu, dari pertama bikin ga bisa ferivikasi wajah, sampai saya ganti kamera biar jelas, tetep ga bisa,",1
2024-12-28 03:29:22,Pengguna Google,Pusiing pake wondr ribet banget lupa pasword mentok di verifikadi wajah sampai capek saya ngedipin mata eh habis waktu terus...ulangi lg foto ktp..wajah lg...kedipin mata lg...haduuuh mending pake mbanking bni,1
2024-12-28 03:24:45,Pengguna Google,Ganti hp login lagi mau masuk susah amet perasaan verfikasi wajah ya,3
2024-12-28 03:23:59,Pengguna Google,Tidak bisa login walaupun nomor aktif dan ingat password nya. Tolong cepat diperbaiki karna kami sebagai pengguna aplikasi susah jika ada keperluan mendesak yang diharuskan menggunakan bank BNI🙏🏻🙏🏻,1
2024-12-28 03:23:38,Pengguna Google,"Lebih simpel fitur² nya, tapi belum ada fitur tarik tunai langsung",4
2024-12-28 02:59:04,Pengguna Google,bug mulu,1
2024-12-28 02:38:07,Pengguna Google,Sangat sulit dalam verifikasi wajah,1
2024-12-28 01:58:03,Pengguna Google,Ribet mau bayar VA Shopee malah masuk ke ewallet,2
2024-12-28 01:05:51,Pengguna Google,printah verifikasi nya bobrok parah udah sih ini apk rongsokan gak usah di pakek di pertama loginnya aja kelihatan apk mungut di tempat sampah,1
2024-12-28 01:05:46,Pengguna Google,"Oke,tapi kok bunyi enggak ada yah",4
2024-12-28 00:42:10,Pengguna Google,"Udah brp bulan make, masih aja banyak kendala hadeuhh contohnya : TF ke E-wallet selalu ada keterangan ""Ada kendala di sistem kami"" Seminggu begitu teruss",1
2024-12-28 00:32:32,Pengguna Google,Aplikasi nya sering gangguan.loading,5
2024-12-27 21:54:49,Pengguna Google,Ko pake wonder by BNI uang saya ke ambil sendri si saldo berkurang terus padahal ga sy ambil gimana ini pke wonder ga jelas banget jadinya,1
2024-12-27 21:15:38,Pengguna Google,"Prosesnya cepat, bravo wondr by BNI",5
2024-12-27 21:04:22,Pengguna Google,Ok,5
2024-12-27 19:02:30,Pengguna Google,"Ini ngapa jadi lemot bet applikasinyaa, please qris sampe orang ngantri panjang gr gr saya kelamaan buka applikasinyaa",3
2024-12-27 17:36:44,Pengguna Google,"SUNGGUH KECEWA PERUBAHAN SISTEM WONDR BY BNI , DI ATAS JAM PUKUL 00:01 TIDAK BISA DI BUAT APA APA",1
2024-12-27 17:33:02,Pengguna Google,"Aplikasi apaan ga jelas Keseringan gagal transaksi,.bangke doang lah Fitur tarik tunai juga ga ada Masih mending aplikasi yg lama",1
2024-12-27 17:22:13,Pengguna Google,Lupa pin,5
2024-12-27 17:21:46,Pengguna Google,"BNI kenapa sih? Hampir setiap malam Gangguan terus!!!! Kalo begini terus semua nasabah bakal pindah bank, coba deh developer perbaiki dong kalo mau lebih bnyak yang make bni! Hadeh",1
2024-12-27 17:13:30,Pengguna Google,Sering gangguan,1
2024-12-27 17:09:45,Pengguna Google,Suka gangguan,1
2024-12-27 17:01:17,Pengguna Google,Ini wondr lgi eror apa gimana ya? soalnya udh brpa kali di transfer g msuk² transferanny tolong dong d benerin yg kayak gni kita sebagai pengguna rugi klo kyak gni,2
2024-12-27 16:42:27,Pengguna Google,Ini aplikasi tidak dari mobile BNI sampai ke wondr selalu saja bermasalah. Ini barusan mau transfer tidak bisa dengan ada tulisan saldo minimum. Sedangkan setiap harinya bisa kenapa tiba2 jadi tdk bisa. Jujur saya sangat menyesal menjadi nasabah di BNI karena bukan kemudahan yg didapat tapi menyusahkan,1
2024-12-27 14:38:37,Pengguna Google,Belum bisa tarik tunai tanpa kartu,4
2024-12-27 14:00:36,Pengguna Google,Sangat membantu,5
2024-12-27 13:51:54,Pengguna Google,"Admin selamat mlm, sy pengguna aplikasi wonder BNI, tadi siang lancar dibuka, namun barusan saat mencoba transfer ke rek bank lain, malah error tdk dpt login, tlng dibantu admin, terimakasih",1
2024-12-27 13:41:16,Pengguna Google,Eror terus,1
2024-12-27 12:57:12,Pengguna Google,Bagusan apk lama riwayat transaksi jelas masuk berapa saldo jd berapa jelas. Lah ini cuma masuk sekian sekian sekian dan terimakasih.,1
2024-12-27 12:55:37,Pengguna Google,Keren Sih tapi gak ada bonus nya,5
2024-12-27 12:26:36,Pengguna Google,"Lebih bagus yg lama, ni verifikasi wajah malah error.",1
2024-12-27 11:19:36,Pengguna Google,Lebih mudah di gunakan,5
2024-12-27 11:05:51,Pengguna Google,"Mau daftar aja susah ,mending APUS nih apk",1
2024-12-27 10:32:54,Pengguna Google,Sangat mudah dalam penggunaan dan mempermudah transaksi,5
2024-12-27 10:10:04,Pengguna Google,Sangat membantu cepat trangsaksi,5
2024-12-27 09:42:44,Pengguna Google,Sering bangett error dan lemot,1
2024-12-27 09:35:06,Pengguna Google,"saya kasih bintang satu dulu soalx klw mau login kadang lama pdhl jaringan internet stabil, catatan transaksi tidak secara langsung menampilkan saldo awal dan saldo akhir seperti history (riwayat transaksi) pada aplikasi BNI Mobile banking sehingga memudahkan nasabah apabila ada kekeliruan saya lebih suka pakai Bni mobile Banking..tolong di perbaiki lagi aplikasinya",1
2024-12-27 09:26:21,Pengguna Google,"aplikasinya sering eror,gimana sih,jauh sama mobile banking yg dulu.",1
2024-12-27 09:24:58,Pengguna Google,Bagus sekali,5
2024-12-27 08:11:51,Pengguna Google,Kenapa wondr gangguan sih gk bsa login padahal di BNI mobile tempat istri aman aman aja. Jd susah transaksi,1
2024-12-27 08:08:56,Pengguna Google,Mudah transaksinya. Terima kasih BNI,5
2024-12-27 08:07:01,Pengguna Google,Ok,5
2024-12-27 07:56:08,Pengguna Google,"Mngkn bagus menurut saya,mudah gampang di pahami",4
2024-12-27 07:47:41,Pengguna Google,Kasih bintang 5 kalo udah ada menu mobile tunai,3
2024-12-27 07:44:05,Pengguna Google,Kenapa apk Wondr tidak bisa top up e-wallet lebih dari satu juta??!! pencerahan dong min!!!,2
2024-12-27 07:35:53,Pengguna Google,"Bikin tambah susah! Mau login aja susah! Sok2an vermuk, tp sistem belum siap! Gk bs login, login vermuk susah! Aplikasi odong2.",1
2024-12-27 07:18:10,Pengguna Google,Amazing awesome lah,5
2024-12-27 06:38:09,Pengguna Google,"Setiap tutup aplikasi, pas buka bukan halaman login tapi halaman utk pertama kali masuk akun. Tiap buka aplikasi harus foto ktp",1
2024-12-27 06:11:45,Pengguna Google,Apk nya susah buat daftar,2
2024-12-27 06:08:20,Pengguna Google,"Aplikasi gimana ini Min,Setiap mau masuk selalu error.malah mau masuk di suruh verifikasi lagi.katanya kata sandi ku salah .padahal setiap hari transaksi kata sandiku tetap itu juga.mau sampai kapan setiap mau Log in harus verifikasi terus .masuk lagi ke no hp ,foto ktp lagi ,foto selfi lagi ,Kan gilak.kita di situ mau lihat keuangan bukan mau pinjaman uang.mobile banking itu seharusnya memudahkan Min bukan malah mempersulit sistem perbankan.Tolong di perbaiki lagi sistem nya Ok.",1
2024-12-27 05:47:40,Pengguna Google,kenapa sih harus ada wonder bni,1
2024-12-27 05:04:55,Pengguna Google,"Min, saya transfer ke dana tgl 24 Desember 2024, kok belum masuk sampai sekarang ya",1
2024-12-27 04:52:27,Pengguna Google,"Mending ini ditiadakan aja dhh pertahanin yang versi sebelumnya,, klo yg ini dipakai transfer gagal trus..",2
2024-12-27 04:51:58,Pengguna Google,Good,5
2024-12-27 04:49:42,Pengguna Google,Sipp aman,5
2024-12-27 04:48:02,Pengguna Google,"Saya user BNI Mobile, dan terdengar kabar kalau BNI Mobile mau dihapus dan diganti Wonder. Yang jadi permasalahan dan banyak terjadi di pengguna BNI Mobile yang mau pindah ke Wonder.untuk verifikasi wajah selalu gagal dan itu bisa gagal berhari hari. Masa iya sekelas BNI bisa kala sama fitur aplikasi Pinjol. Gagal disini bukan krna data tidak sesuai tapi memang aplikasi Wonder ini tidak merespon saat melakukan verifikasi. Kalau ga sanggup melakukan perbaikan hapus saja ini aplikasi.",1
2024-12-27 04:10:30,Pengguna Google,Seminggu gak gak di buka. Giliran di buka di suruh Mulu update. Masa sebulan 4 kali update,1
2024-12-27 02:34:09,Pengguna Google,Mantap,5
2024-12-27 02:15:05,Pengguna Google,Aplikasi keluar sendiri sesi login berakhir. Gitu aja terus. Masih lebih bagus BNI mobile yg lama,1
2024-12-27 02:13:46,Pengguna Google,"Aplikasi Bank yang paling buruk, sering error, sering minta verifikasi wajah, namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA ! Tampilan menu didalamnya ribet dan rumit. Pengalaman paling buruk menggunakan aplikasi Bank BNI ini !!",1
2024-12-27 02:01:17,Pengguna Google,"Wonder aplikasi belum siap sudah di publish ,disuruh ganti pasword sudah masukan no hp yang aktif dihp dikasi kode lewat wa ,photo ktp,kembali lagi ke awal masukan no hp,gitu - gitu saja padahal kan sudah dipakai sebelumnya karena disuruh masukan pasword baru pilih lupa pasword ya keluar hal di atas, kemudian buka rekening goal juga gak pernah berhasil",1
2024-12-27 01:38:57,Pengguna Google,Mantab,5
2024-12-27 01:32:10,Pengguna Google,Apsi ko eror terus ni aplikasi,1
2024-12-27 01:28:28,Pengguna Google,Terimakasih atas responnya terhadap pelayanan semoga bisa lebih maju lagi,5
2024-12-27 01:07:13,Pengguna Google,ook,5
2024-12-27 00:12:17,Pengguna Google,Sangat membantu,5
2024-12-27 00:06:05,Pengguna Google,Ini kenapa kalo topUp e-Wallet ad batas mnimum.nya.. Ayo dong kami pengguna susah dg pembatasan ini.. Tolong d perbaiki.,1
2024-12-26 23:38:09,Pengguna Google,"Apk Wondr BNI diharapkan bisa berfungsi lebih baik dari BNI mobile ternyata tidak , fitur BNI mobile yang lama lebih mudh utk bertransaksi dan tidak pernah eror. Wonder BNI sering error dan mempersulit pengguna dalam bertransaksi disaat2 emergency tdk dapat digunakan...Tolong Pihak BNI menindaklanjuti permasalahan yang ada terimkasih",1
2024-12-26 23:22:12,Pengguna Google,Lebih mudah cepat sangat mambantu,5
2024-12-26 23:05:07,Pengguna Google,Mantap men,5
2024-12-26 20:37:37,Pengguna Google,"sejauh ini msh aman Krn msh transaksi yg ringan, cuma sy lihat LBH byk fiturnya BNI mobile. d wondr by BNI ini msh byk fitur2 nya yg kurang, sy smpe skrg g dpt MPN (pembayaran penerimaan negara) yg biasanya kita pakai saat pembayrn pendaftar dan perpanjangan pasport d kantor imigrasi, dll. pdhl yg BNI mobile ada, lengkap, dan g ribet. mhn segera diperbaiki wondr by BNI ini KLO mmg ke depanx akan dialihkan dri BNI mobile, hrsx aplikasi yg ini LBH mantap dri BNI mobile, ini kok malah sebaliknya ya",1
2024-12-26 18:25:17,Pengguna Google,Bagus,1
2024-12-26 18:17:46,Pengguna Google,"aplikasinya cukup bagus sebenernya tapi sering suruh verifikasi terus kalo masuk ngulang² terus dari awal masukin nomor fotoin ktp jadinya ribet, tolong ya di perbaiki",2
2024-12-26 17:27:36,Pengguna Google,Selalu gangguan tiap hari,1
2024-12-26 17:27:16,Pengguna Google,transaksi sering tertunda akibat aplikasi sering eror,1
2024-12-26 17:21:10,Pengguna Google,Mau verifikasi wajah 3 hari pun gak bisa aplikasi jancokkkk,1
2024-12-26 17:03:50,Pengguna Google,Mbangking paling lemot dan uang suka nyangkut trnsaksi berhasil duit tidak keluar atau masuk ke yg di tf lebih baik pindah ke bank lain tidak rekomendasi BNI,1
2024-12-26 17:03:05,Pengguna Google,Membantu,5
2024-12-26 16:59:29,Pengguna Google,Aplikasi mobile banking terburuk yang pernah ada,1
2024-12-26 16:57:04,Pengguna Google,Tolong jangan di munculin peringata. Download saat buka bni mobile. Perbaiki dulu aplikasi,1
2024-12-26 16:53:09,Pengguna Google,Tidak bisa tarik tunai?,4
2024-12-26 16:41:23,Pengguna Google,Wondr makin kesini makin gak jelas gangguan terus,1
2024-12-26 16:04:06,Pengguna Google,"Bisa transaksi, tapi masa qris kena biaya juga sih? Sedih banget",1
2024-12-26 14:26:38,Pengguna Google,"Lemot, sering eror, mohon segera disempurnakan biar tdk kebanyakan aplikasi di hp",1
2024-12-26 14:25:21,Pengguna Google,"Alhamdulillah,,,cukup baik",5
2024-12-26 14:19:39,Pengguna Google,Aplikasi deso iT jongkok lebih bagus BNI mobile dan BRImo dan living aplikasi cacat Secara fitur banyak heror Heng tolong di perbaiki lagi,1
2024-12-26 14:04:42,Pengguna Google,"eh tolong dong ini gmn sih, udh semingguan kok ttp begini aja. repot bgt kalok ada urusan mendadak. perbaikan apalagi si ya ampunnnnn",1
2024-12-26 13:29:13,Pengguna Google,Mantap aplikasinya dan jarang macet atau lemot,4
2024-12-26 12:35:32,Pengguna Google,Terimakasih,5
2024-12-26 12:19:35,Pengguna Google,Makin mudah dan lancar dalam bertransaksi,5
