content,Tampilan,Autentikasi,Transaksi
"Satu kekurangan dari aplikasi ini,tidak adanya fitur cardless yang bisa setor tunai tanpa kartu.mohon diberikan fitur tersebut di apdate berikutnya.",,,Negative
Uda instal dan upgrade sampe ke bank..tetapi ketika mau pake selalu muncul keterangan: sesi ini sudah berakhir silahkan login ulang...pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu...g bisa login2....lebih mudah aplikasi bni mobile yang pertamaaa,,Negative,
Nyusahin nih aplikasi sekarang top up dana sehari cuma dibatesin 1jt..padahal di setingan Uda ku atur maximal tapi tetep aja waktu transaksi tulisannya melebihi batas limit harian,,,Negative
Transfer gak berhasil padahal saldo ada,,,Negative
"👎 1000X AUTO UNINSTAL MENDING PAKAI APLIKASI YG LAMA, DI WONDR GAK ADA KETERANGAN UANG MASUK DAN KELUAR DR SIAPA² NYA JD BUAT SAYA YG SERING ADA UANG MASUK DAN KELUAR DR KONSUMEN DIBIKIN BINGUNG SIAPA² YG UDH SETOR ATAU BAYAR, MOHON FITUR RIWAYAT TRANSAKSI TOLONG PERBAIKI SEPERTI APP LAWAS ADA NAMA PENGIRIM UANG & BS LIAT RIWAYAT 1 HARI, SEMINGGU,1 BLN, SERTA DITAMBAH FITUR BARU YG LEBIH CANGGIH.BUKANYA NGURANGI APA YG SUDAH ADA DI APP LAMA, KURANGNYA CM DI RIWAYAT TRANSAKSI SJ. SELEBIHNYA GOOD",,,Negative
Aplikasi paling bagus dan gampang untuk transaksi,,,Positive
Overall sudah good. Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,,Negative,Positive
"bagus, sekarang notifikasi uang masuk atau keluar sudah lebih cepat muncul tanpa delay lama seperti dulu",,,Positive
Gak jelas aplikasi saran BNI ini . Saya menggunakan transaksi melalui qiris. Di pemberitahuan nya pembayaran melalui qiris belum hasil . Tau tau saldo udah berkurang. Pulsa 30 rb habis buat nelpon call center bni . Tanggapan nya 20 hari kerja . Hadehhh parahhh banget,,,Negative
Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali..,,Negative,
"Gak recommended sekelas BNI, cardless tidak ada, login ulang setelah ganti device susah bgd pas verifikasi wajah, suruh ulang tiap hari, sering bgd error juga, menghambat aktifitas👎",,Negative,
"Tolong perbaiki, masa saat saya sedang membuat password pada akun baru, layar sya ghost touch aneh banget, aplikasi lain normal hanya ini saja yg error",,Negative,
"login biometrik stuck di s&k doang, pdhal udh di klik ""Saya Setuju"" tapi ga muncul sidik jari nya, ribet kalo harus ngetik kata sandi tiap mau masuk",,Negative,
Gagal login terus makin gajelas,,Negative,
min.ini gimana si!!aku udah bikin akun loh!tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi!!!!!!dan saya gabiaa login...ayolah yang bener aja.masa harus terus teruaan bikin aiun baru!!!!!!,,Negative,
mana fitur tarik tunai nya??,,,Positive
"kenapa verifikasi ektp gagal trus, padahal udah bener ktp sama terang",,Negative,
Wonder saya tidak bisa terbaca tf orng lain bosku,,,Negative
"Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun, setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi, setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa, di suruh lanjut lagi besok, setelah besok nya saya lanjut kan mlh ttp tidak bisa, di suruh lanjut besok lagi, gitu aja terus",,Negative,Positive
Ayo menunya dilengkapi lagi masak gag ada mobile tunai kayak bni mobile,,,Negative
"Saya abis tranfer uang ke bang lain tapi gagal, saldonya belum balik lagi ke rekening BNI nya, total tranfer nya 7jt, tolong min bantu",,,Negative
Ga bisa di pakai transaksi,,,Negative
Aplikasi yg buruk Setelah setor pertama Rekening di bekukan secara sepihak Saldo tertinggal di rekening,,,Negative
Di atas jam 23.00 transaksi gagal terus. Tolong di perbaiki,,,Negative
Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng. Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,,Negative,
gimana si kok gak bisa transaksi lagi perbaikan mulu udah lama lagi kapan baiknya coba,,,Negative
"Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi , di coba lagi suruh munggu lagi besok, gitu aja terus sampai gajahnya menikah hadeeeh",,Negative,
Maaf sebelumnya kenapa mau login ga bisa terus?? Dan harus pembaruan baru bisa masuk. Padahal belum sebulan udah perbaruan. Dan sering error tiba-tiba padahal sinyal masih bagus,,Negative,
"Ribet. Tiap mw tfr, minta log in dr awal, foto ktp, nengok kanaan, kiri.. trs otomatis klwr dr apk nya.. bukan memudahkan, tp bkin ribet. Untung mbanking blm ku hapus..",,Negative,Negative
Eror terusvuntuk hp saya .2 hari tdk bisa login..tertulis ada kèndala..tim kami lagi service.dan di coba lagi..,,Negative,
"Aduh bni udh bener lama aja.. Tiba2 dipaksa ke wonder kualitas ga jelas logout sendiri,..",,Negative,
"Aplikasi tidak berguna, mau masuk saja dipersulit padahal sudah benar nomor hp dan ktp. Tinggal verifikasi wajah tidak pernah berhasil.",,Negative,
GALAAIIIII TIDAK ADA FITUR TARIK TUNAI MOBILE BNI,,,Negative
Tidak bisa melihat berita atau keterangan transaksi yang masuk apa / berita transfer masuk tidak ada.😇😇🤭🤦 Beda dengan aplikasi yang lama Lebih bagus aplikasi BNI yg lama uraian lebih detail berita atau keterangan transaksi nya.,,,Negative
"Jelek banget bagusan yang dulu, dari pertama bikin ga bisa ferivikasi wajah, sampai saya ganti kamera biar jelas, tetep ga bisa,",,Negative,
Pusiing pake wondr ribet banget lupa pasword mentok di verifikadi wajah sampai capek saya ngedipin mata eh habis waktu terus...ulangi lg foto ktp..wajah lg...kedipin mata lg...haduuuh mending pake mbanking bni,,Negative,
Ganti hp login lagi mau masuk susah amet perasaan verfikasi wajah ya,,Negative,
Tidak bisa login walaupun nomor aktif dan ingat password nya. Tolong cepat diperbaiki karna kami sebagai pengguna aplikasi susah jika ada keperluan mendesak yang diharuskan menggunakan bank BNI🙏🏻🙏🏻,,Negative,
"Lebih simpel fitur² nya, tapi belum ada fitur tarik tunai langsung",Positive,,Positive
Sangat sulit dalam verifikasi wajah,,Negative,
Ribet mau bayar VA Shopee malah masuk ke ewallet,,,Negative
printah verifikasi nya bobrok parah udah sih ini apk rongsokan gak usah di pakek di pertama loginnya aja kelihatan apk mungut di tempat sampah,,Negative,
"Udah brp bulan make, masih aja banyak kendala hadeuhh contohnya : TF ke E-wallet selalu ada keterangan ""Ada kendala di sistem kami"" Seminggu begitu teruss",,,Negative
Ko pake wonder by BNI uang saya ke ambil sendri si saldo berkurang terus padahal ga sy ambil gimana ini pke wonder ga jelas banget jadinya,,,Negative
"Aplikasi apaan ga jelas Keseringan gagal transaksi,.bangke doang lah Fitur tarik tunai juga ga ada Masih mending aplikasi yg lama",,,Negative
Ini wondr lgi eror apa gimana ya? soalnya udh brpa kali di transfer g msuk² transferanny tolong dong d benerin yg kayak gni kita sebagai pengguna rugi klo kyak gni,,,Negative
Ini aplikasi tidak dari mobile BNI sampai ke wondr selalu saja bermasalah. Ini barusan mau transfer tidak bisa dengan ada tulisan saldo minimum. Sedangkan setiap harinya bisa kenapa tiba2 jadi tdk bisa. Jujur saya sangat menyesal menjadi nasabah di BNI karena bukan kemudahan yg didapat tapi menyusahkan,,,Negative
Belum bisa tarik tunai tanpa kartu,,,Negative
"Admin selamat mlm, sy pengguna aplikasi wonder BNI, tadi siang lancar dibuka, namun barusan saat mencoba transfer ke rek bank lain, malah error tdk dpt login, tlng dibantu admin, terimakasih",,Negative,Negative
Bagusan apk lama riwayat transaksi jelas masuk berapa saldo jd berapa jelas. Lah ini cuma masuk sekian sekian sekian dan terimakasih.,,,Negative
Keren Sih tapi gak ada bonus nya,Positive,,
"Lebih bagus yg lama, ni verifikasi wajah malah error.",,Negative,
"Mau daftar aja susah ,mending APUS nih apk",,Negative,
Sangat mudah dalam penggunaan dan mempermudah transaksi,,,Positive
"saya kasih bintang satu dulu soalx klw mau login kadang lama pdhl jaringan internet stabil, catatan transaksi tidak secara langsung menampilkan saldo awal dan saldo akhir seperti history (riwayat transaksi) pada aplikasi BNI Mobile banking sehingga memudahkan nasabah apabila ada kekeliruan saya lebih suka pakai Bni mobile Banking..tolong di perbaiki lagi aplikasinya",,Negative,Negative
Kenapa wondr gangguan sih gk bsa login padahal di BNI mobile tempat istri aman aman aja. Jd susah transaksi,,Negative,Negative
Mudah transaksinya. Terima kasih BNI,,,Positive
Kasih bintang 5 kalo udah ada menu mobile tunai,,,Positive
"Bikin tambah susah! Mau login aja susah! Sok2an vermuk, tp sistem belum siap! Gk bs login, login vermuk susah! Aplikasi odong2.",,Negative,
"Setiap tutup aplikasi, pas buka bukan halaman login tapi halaman utk pertama kali masuk akun. Tiap buka aplikasi harus foto ktp",,Negative,
Apk nya susah buat daftar,,Negative,
"Aplikasi gimana ini Min,Setiap mau masuk selalu error.malah mau masuk di suruh verifikasi lagi.katanya kata sandi ku salah .padahal setiap hari transaksi kata sandiku tetap itu juga.mau sampai kapan setiap mau Log in harus verifikasi terus .masuk lagi ke no hp ,foto ktp lagi ,foto selfi lagi ,Kan gilak.kita di situ mau lihat keuangan bukan mau pinjaman uang.mobile banking itu seharusnya memudahkan Min bukan malah mempersulit sistem perbankan.Tolong di perbaiki lagi sistem nya Ok.",,Negative,Negative
"Min, saya transfer ke dana tgl 24 Desember 2024, kok belum masuk sampai sekarang ya",,,Negative
"Mending ini ditiadakan aja dhh pertahanin yang versi sebelumnya,, klo yg ini dipakai transfer gagal trus..",,,Negative
"Saya user BNI Mobile, dan terdengar kabar kalau BNI Mobile mau dihapus dan diganti Wonder. Yang jadi permasalahan dan banyak terjadi di pengguna BNI Mobile yang mau pindah ke Wonder.untuk verifikasi wajah selalu gagal dan itu bisa gagal berhari hari. Masa iya sekelas BNI bisa kala sama fitur aplikasi Pinjol. Gagal disini bukan krna data tidak sesuai tapi memang aplikasi Wonder ini tidak merespon saat melakukan verifikasi. Kalau ga sanggup melakukan perbaikan hapus saja ini aplikasi.",,Negative,
Aplikasi keluar sendiri sesi login berakhir. Gitu aja terus. Masih lebih bagus BNI mobile yg lama,,Negative,
"Aplikasi Bank yang paling buruk, sering error, sering minta verifikasi wajah, namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA ! Tampilan menu didalamnya ribet dan rumit. Pengalaman paling buruk menggunakan aplikasi Bank BNI ini !!",Negative,Negative,
"Wonder aplikasi belum siap sudah di publish ,disuruh ganti pasword sudah masukan no hp yang aktif dihp dikasi kode lewat wa ,photo ktp,kembali lagi ke awal masukan no hp,gitu - gitu saja padahal kan sudah dipakai sebelumnya karena disuruh masukan pasword baru pilih lupa pasword ya keluar hal di atas, kemudian buka rekening goal juga gak pernah berhasil",,Negative,Negative
"Apk Wondr BNI diharapkan bisa berfungsi lebih baik dari BNI mobile ternyata tidak , fitur BNI mobile yang lama lebih mudh utk bertransaksi dan tidak pernah eror. Wonder BNI sering error dan mempersulit pengguna dalam bertransaksi disaat2 emergency tdk dapat digunakan...Tolong Pihak BNI menindaklanjuti permasalahan yang ada terimkasih",,,Negative
"sejauh ini msh aman Krn msh transaksi yg ringan, cuma sy lihat LBH byk fiturnya BNI mobile. d wondr by BNI ini msh byk fitur2 nya yg kurang, sy smpe skrg g dpt MPN (pembayaran penerimaan negara) yg biasanya kita pakai saat pembayrn pendaftar dan perpanjangan pasport d kantor imigrasi, dll. pdhl yg BNI mobile ada, lengkap, dan g ribet. mhn segera diperbaiki wondr by BNI ini KLO mmg ke depanx akan dialihkan dri BNI mobile, hrsx aplikasi yg ini LBH mantap dri BNI mobile, ini kok malah sebaliknya ya",,Negative,Negative
"aplikasinya cukup bagus sebenernya tapi sering suruh verifikasi terus kalo masuk ngulang² terus dari awal masukin nomor fotoin ktp jadinya ribet, tolong ya di perbaiki",,Negative,
transaksi sering tertunda akibat aplikasi sering eror,,,Negative
Mau verifikasi wajah 3 hari pun gak bisa aplikasi jancokkkk,,Negative,
Mbangking paling lemot dan uang suka nyangkut trnsaksi berhasil duit tidak keluar atau masuk ke yg di tf lebih baik pindah ke bank lain tidak rekomendasi BNI,,,Negative
Tidak bisa tarik tunai?,,,Negative
"Bisa transaksi, tapi masa qris kena biaya juga sih? Sedih banget",,,Negative
Makin mudah dan lancar dalam bertransaksi,,,Positive
"Sering eror, top up dana gak terkirim², padahal di keterangan nya top up berhasil, tolong perbaiki lagi, informasikan klo memang transaksi gagal, ga ada kepastiannya, kasih bintang 1 dlu, perbaiki baru bintang 5.",,,Negative
"Waduh makin susah pakai wondr, lebih enak pakai bni mobile, tolong fitur mobile tunainya segera di munculkan biar mempermudah transaksi, update terbaru malah fiturnya masih belum lengkap, tapi di bni mobile fiturnya malah dimatikan astaga!!!",,,Negative
Sebaiknya aktifkan aja fasilitas di bni mobile. Selama wondr blm bisa dijalankan. Saya merasa sangat disusahkan krn tidak bisa transaksi pembelian token listrik,,,Negative
"Saya baru download karna bni mobile sdh tidak bisa digunakan untuk setor tunai, tapi saat saya sudah selesai verifikasi semua saat ingin masuk saya saya kembali ke halaman awal persetujuan dan selalu berulang seperti itu meski datanya saya hapus dn masukan ulang kembali bbrpa kali .. Sekarang saya kesulitan untuk mengakses rek bni saya secara online krn wondr bermasalah dan bni mobile sdh dibatasi untuk aktivitasnya",,Negative,Negative
Tidak ada fitur menyimpan no rekening,,,Negative
Kekurangannya belum ada fitur tarik setor tunai dan topup dana,,,Negative
Sangat bgs cukup mmbantu jg untk semua aktipitas pembayaran,,,Negative
"MANTAP, bagi kami petani yg di pelosok desa menjadikan transaksi apapun sangat membantu dan mudah serta Aman.",,,Positive
Kenapa harus ada limit untuk bisa transaksi e-wallet?,,,Positive
"gak bisa transaksi cardless, ngeselin bgt bikin susah aja",,,Negative
Orang transfer tanggal 24 masuk tanggal 26 susah banget...!!!!,,,Negative
"Saya mau aktifkan akun taplus mahasiswa, tapi kenapa gk mau nunggu fitur update, dh saldo saya isi pula di akun supaya aktif",,Negative,Positive
"Aplikasi gak jelas, Ferifikasi wajah selalu gagal.",,Negative,
"pencatatan keuangan tidak tersedia dana sisa setelah setiap transaksi, tidak semua transaksi tercatat, hanya transaksi transfer yang tercatat, sangat susah melihat semua pengeluaran",,,Negative
"Susah banget nyetor mukanya sudah beberapa hari ga berhasil,, lebih baik aplikasi yg lama,, saya mau masuk akun saya yang sudah lama di buat malah susah bangat masuknya,, harud d perbaiki lagi buat setor mukanya",,Negative,
"Terimakasih sudah ada menu total pengeluaran/pemasukan secara detail, namun mohon riwayat transaksi disertakan saldo pertransaksi (seperti pada aplikasi sebelumnya) sehingga mudah memantau saldonya. Bintang 5 kalau itu ada.",,,Positive
sangat kurang : sering gak bisa transaksi dan menu tidak lengkap,,,Negative
"Tolong solusinya, saya tidak bisa verifikasi wajah, karena terlalu banyak percobaan. Aplikasi tidak bisa melakukan verifikasi wajah",,Negative,
"Apaan si gonta ganti aplikasi terus, bukannya update aja malah ganti aplikasi, banyak banget yg diminta lagi, aman ga kalian jaga data kami? Sudah minta segitu banyak persyaratan untuk registrasi, kalau uang kami hilang karna hacker kalian tanggung jawab dan ganti ga?",,,Negative
Aplikasi ini sungguh sangat memudahkan nasabah BNI. Transaksi apapun dapat dilakukan dimana saja. Jadi praktis dan efisien. Top deech. Terima kasih wondr by BNI.,,,Positive
"Klw tf harus ada saldo mengendap min 50ribu,lu coba bayangin aja dri 50rb di kali penduduk Indonesia yang pake bank satu ini,mending pake BCA minimum saldo sisa 10rbu sesudah transfer.",,,Negative
"payah..kenapa gak ada menu favorit untuk pembelian pulsa listrik,setiap kali mau melakukan transaksi harus nyari dulu no pelanggan nya..gak ky mobile banking",,,Negative
Aplikasi nya jelek slalu logout sndr dan ketika mw masuk di minta buat login baru dengan upload ktp dll... Meminta otp di wa sampai 3x pengiriman tak kunjung masuk OTP nya.... Sangat buruk... Yg Ngasih Bintang ⭐⭐⭐⭐⭐ paling para pegawai nya saja... Sangat2 tdk memuaskan nasabaaaah,,Negative,
"uang buatt beli susu di embat nih, udah bayar lewat virtual account tapi gak masuk terus gak dibalikin uangnya dari mbanking gila lu ya",,,Negative
Untuk pin transaksi kalau bisa lebih aman lagi,,,Positive
Mantab..lebih mudah dan gampang untuk transaksi... makasih BNI..👍 Tapi kadang-kadang kalo malam sering error / atau dalam perbaikan lah...masa bisanya dipakai siang aja...kolo malam gak bisa... percuma dong,,,Positive
"bagus sih aplikasi nya,cuman sering banget mau transfer atau top up ke Dana gagal terus,terus kadang udah berhasil tapi ga masuk nominal uang nya. harus berulang kali baru bisa. kenapa ya? apa cuman saya aja. lebih bagus aplikasi sebelum nya malahan,apa masih versi BETA kah yang ini? developer tolong dong solusi nya, soalnya saya pengguna setia Mobile Banking BNI. Thank you",,,Negative
"alasan saya lebih memilih bni mobile lama,karna waktu saya mau bayar ukt,di pembayaran pendidikan cuma ada universitas Indonesia di aplikasi bni mobile sebelum nya lengkap universitas apa saja🙂",,,Negative
"Tolonglah diperjelas masalah minimum saldo saya pengen beli flash sale jadinya gagal kena mininum saldo sehingga tidak bisa transfer ayolah bni diperjelas dan dipermudah utk minimum saldonya. Serta untuk biaya adminnya udahlah mahal banget 11k/ bulan,dibanding yang lain bahkan free adm. kecewa berat kali ini mgkn bakal pindah bank utk daily dari skrg jika tidak ada improvement dari pihak bank",,,Negative
Kenapa setiap TF selalu kg bisa sih kocak bener dh padahal jaringan bagus,,,Negative
Wondr by bni saya kebayakan login no men jagi gk bisa masuk gimanah yh,,Negative,
tambahin mutasi bank,,,Positive
kenapa transfer ke shopeepay tidak dapat ?,,,Negative
Susah verifikasi muka ga jelas,,Negative,
Tambah mobile tunai di wonder BNI dong,,,Positive
"Kebanyakan verifikasi sekali verifikasi sebenarnya sudah cukup, kenapa bolak balik harus verifikasi semakin baru malah semakin g lancar, membuat aplikasi itu seharusnya memudahkan bukan malah semakin sulit, mending mbanking BNI yang lama itu lebih bagus Tlg kalau rekrut IT itu yang sdh tahu permasalahan aplikasi, bukan dikit2 update, dikit2 perbaikan",,Negative,
"Sering error tiba-tiba ke log out, sering error, mohon perbaikannya, padahal baru juga login",,Negative,
sering ngebug susah bgt di buat transfer sering ga bisa,,,Negative
sudah beberapa kali verifikasi wajah gagal terus,,Negative,
"Bagus tampilan nya,tpi untuk mobile tunai belom tersedia semoga kedepan nya ada",Positive,,Positive
Mudahkan transaksi,,,Positive
nyesel nyimpen duit disini,,,Negative
Gagal terus verifikasi wajahnya 🥲 ribet appnya waktu yang tepat beraalih ke BCA sih,,Negative,
"Paling jelek, transferan saya ngegantung Tanpa kejelasan",,,Negative
"Min segera update , karena aplikasinya sering keluar sendiri kadang ngehang ngelag udah unistal terus instal login lagi tetep sama, , dihp samsung a04 android 14, wondr sudah update ke versi 1.2.0 , tolong update plis update min atau hp saya ga layak pakai wondr?",,Negative,
"Untuk karakter password harap di tambah, password sangat rentan. Tampilan ui aplikasi biasa aja. Tidak proposional",Negative,,
"Sudah hari ke 3. Pada verifikasi wajah selalu ada gangguan terus, padahal pencahayaan dan sinyal bagus. Dulu gangguan jaringan mulu, sekarang verifikasi wajah.",,Negative,
Kenapa dana belum masuk padahal TF sudah berhasil,,,Negative
"Setelah update kok ga bisa login , apk apaan ini bagusan mobile banking ternyata",,Negative,
Wondr by BNI keren tapi masih kurang sampai sekali pembukaan rekening Life Goals belum bisa dan selalu keterangan Ada sedikit kendala..,Positive,,Negative
"Menurutku ini blm bagus,lebih bagus yg dulu.mau transfer ke DANA 3 jta bagaimna coba,limit 1 hari 1 jta, itupun cma bsa transfer 500².repot",,,Negative
"Makin ribet, lebih baik yg versi BNI mobile, versi wondr ini bagian riwayat transaksi kita tidak bisa lihat saldo yg sebelumnya berapa, pengurangan atau penambahan berapa.",,,Negative
Lebih bagus BNI mobile Mau transaksi tanpa kartu ga ada fikturnya,,,Negative
sering banget perbaikan.. bikin transaksi dengan klien batal..,,,Negative
Mau transaksi jam 11 malam sering banget error ah sudah lah,,,Negative
Bagus sih tapi tidak bisa tarik tunai tanpa kartu,,,Negative
"Kurang baik, kenapa saldo tabungan tidak bisa dipindahkan ke taplus muda dan tidak bisa dijadikan sumber dana utama",,,Negative
"Transaksi tanpa kartu,, aktifkan dong",,,Positive
TOLONG buat riwayat mutasi seperti BNI M-Bankingnya yg terlihat saldo setiap ada transaksi !!! Jangan cuma nominal transaksinya saja yg tertera,,,Negative
Repot sekali wonder ini bikin susah login... Malas aku sebenarnya pakai BNI wonder ini bagus dan simpel pakai BNI biasa... Mau isi token listri ja harus di wonder... Ahkkk repot...,Negative,Negative,
"Saat ingin login kenapa terus-menerus untuk menyetujui syarat dan ketentuan ya? Saat saya sudah setujui apk ini loading dan balik lagi memunculkan syarat dan ketentuan, mohon perbaikan nya min, saya tidak bisa login 🙏",,Negative,
"Bni apaan mahal amat biaya transaksi ya 7.500 sekali tarik"" dua kali narik 15.000 aplikasi apaan saya nilai buruk banget",,,Negative
Kok gini sich. Ada yang transfer katanya sudah berhasil akan tetapi gak keluar kertas print di ATM. Aku coba lacak melalui aplikasi belum masuk belum ada laporan riwayatnya. Alias lambat. Ditqmbah setiap mau masuk aplikasi muter2 lama. Lemot banget si. Tolong lbh diperbaiki. Jangan mengecewakan customer,,,Negative
"Saya mau tanya, saya sudah aktifkan biometrik sidik jari untuk login, tapi setelah keluar aplikasi lalu akan masuk lagi, biometrik sidik jari tidak aktif dan muncul notif untuk mengaktifkan biometrik sidik jari dulu. Kenapa ya? Saya kasih bintang 5 supaya segera di tanggapi.",,Negative,
"ini aplikasi lebih parah dari BNI mobile,,, mendaftar aplikasi saja di persulit, mending BNI hapus saja ini aplikasi.bisa tidak verifikasi wajah di hapus saja masa disuruh kedip kedip bikin mau aja, ratusan kali kedip tetap gak bisa",,Negative,
Kenapa ini transaksi gagal tapi saldoku tetap berkurang,,,Negative
Fitur tarik tunainya kapan bakalan ada ?,,,Positive
"Saya dah daftar udah bisa buat transaksi,, satu waktu keluar aplikasi, kirain bisa langsung masuk,, tapi malah suruh foto KTP lagi,, gak jelas banget",,Positive,Positive
"🎵 Untungnya… wondr bikin hidup Susah! 🎵 Tolong pihak BNI saya transaksi transfer ke bank lain, saldo sudah terpotong & uang belum masuk di rekening tujuan, padahal keterangan berhasil!!! Ini sangat merugikan khususnya dikala emergenci 👎",,,Negative
Aplikasi sudah punya tapi mengapa tidak bisa dibuka cuma muncul logo wondr saya tunggu sampai lama tapi tidak terbuka ini sudah sekian kali nya dulu pernah seperti ini sampai sampai saya hafus terus nginstal lagi dan daftar lagi baru bisa apa harus seperti ini daftar berulang ulang tolong dong dibenahi masa harus daftar dan download lagi,,Negative,
Lebih suka yg lama. Wondr keterangan / berita gak muncul di rincian transaksi,,,Negative
"Mantap, tapi lebih mantap lagi kalo ada mobile tunainya biar bisa ambil tunai lewat atm tanpa kartu",,,Positive
Notif sudh muncul tp transaksi di riwayat ngg muncul. Lebih baik apk BNI yang lama.,,,Negative
kenapa saat verifikasi eajah pas kedip ga merespon,,Negative,
"Tambahin fitur untuk mengisi/menarik saldo tanpa menggunakan kartu debit di ATM dong, Terus di perbaiki lg fitur top up ewallet dana, tidak semua nomor dapat diakses di wondr Dan kalau bisa tambahin juga fitur penerimaan saldo dari negara' jauh, seperti eropa, dan sebagainya",,,Positive
"Untung aplikasi BNI Mobile ku blm ku hapus 🤦🏻‍♀️ wonder by BNI ini kayak.y belum siap pakai deh tp udah diluncurkan. Awal download ragu² krn ulasan.y bener² buruk tp nekat download langsung daftar kemarin & aplikasi.y berfungsi dgn baik meskipun masih banyak fitur yg kurang. Hari ini pas mau login bener² gak bisa, yg muncul selalu syarat & ketentuan, udah dicentang semua & udah coba berkali-kali tp tetap gak bisa login dgn keterangan ""sesi anda telah berakhir"". Tolong diperbaiki lagi 🙏",,Negative,
Kak Admin! Gmn caranya lihat record sisa saldo per transaksi? Soalnya sy filter gak nemu2.,,,Negative
Tidak bisa masuk buat transaksi Selalu ada tulisan sedang perbaikan padahal pake wifi sinyal bagus aneh apk nya,,,Negative
"Masih lebih baik versi sebelumnya yang mobile. Ini banyak error logout mulu masa harus isi lagi nomor HP, mending sempurkan dulu aplikasinya sebelum di rilis",,Negative,
UI bagus. Ramah untuk kalangan muda,Positive,,
TOLONG ADAKAN FITUR TARIK TUNAI MELALUI HP!!!!! AGAR MEMUDAHKAN NASABAH YANG LUPA MEMBAWA KARTU DEBIT!!!!!!,,,Negative
"Supaya menjadi super apk, perlu ditambahkan lagi fitur penarikan uang tunai tanpa kartu ATM. Untuk fitur lainnya sudah bagus",,,Positive
isi pulsa. . kok gak masuk saldo udah ke potong.... tpi alhamdulillah udah d kembalikan dgn tenggang 3 hari jam kerja...🙏🙏,,,Negative
Bagus sih tapi sayang ga bisa tarik tunai,,,Negative
