content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali..,Negative,Autentikasi,Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali,sagat bagusnnamun ketika mau masuk privikasi wajah susah kali,sangat bagusnnamun ketika mau masuk privasi wajah susah kali,sangat bagusnnamun masuk privasi wajah susah kali,"['sangat', 'bagusnnamun', 'masuk', 'privasi', 'wajah', 'susah', 'kali']",sangat bagusnnamun masuk privasi wajah susah kali,"['sangat', 'bagusnnamun', 'masuk', 'privasi', 'wajah', 'susah', 'kali']"
"Gak recommended sekelas BNI, cardless tidak ada, login ulang setelah ganti device susah bgd pas verifikasi wajah, suruh ulang tiap hari, sering bgd error juga, menghambat aktifitasðŸ‘Ž",Negative,Autentikasi,Gak recommended sekelas BNI cardless tidak ada login ulang setelah ganti device susah bgd pas verifikasi wajah suruh ulang tiap hari sering bgd error juga menghambat aktifitas,gak recommended sekelas bni cardless tidak ada login ulang setelah ganti device susah bgd pas verifikasi wajah suruh ulang tiap hari sering bgd error juga menghambat aktifitas,tidak recommended sekelas bni cardless tidak ada login ulang setelah ganti device susah banget pas verifikasi wajah suruh ulang tiap hari sering banget error juga menghambat aktivitas,tidak recommended sekelas cardless tidak login ulang ganti device susah banget pas verifikasi wajah suruh ulang sering banget error menghambat aktivitas,"['tidak', 'recommended', 'sekelas', 'cardless', 'tidak', 'login', 'ulang', 'ganti', 'device', 'susah', 'banget', 'pas', 'verifikasi', 'wajah', 'suruh', 'ulang', 'sering', 'banget', 'error', 'menghambat', 'aktivitas']",tidak recommended sekelas cardless tidak login ulang ganti device susah banget pas verifikasi wajah suruh ulang sering banget error menghambat aktivitas,"['tidak', 'recommended', 'kelas', 'cardless', 'tidak', 'login', 'ulang', 'ganti', 'device', 'susah', 'banget', 'pas', 'verifikasi', 'wajah', 'suruh', 'ulang', 'sering', 'banget', 'error', 'hambat', 'aktivitas']"
"Tolong perbaiki, masa saat saya sedang membuat password pada akun baru, layar sya ghost touch aneh banget, aplikasi lain normal hanya ini saja yg error",Negative,Autentikasi,Tolong perbaiki masa saat saya sedang membuat password pada akun baru layar sya ghost touch aneh banget aplikasi lain normal hanya ini saja yg error,tolong perbaiki masa saat saya sedang membuat password pada akun baru layar sya ghost touch aneh banget aplikasi lain normal hanya ini saja yg error,tolong perbaiki masa saat saya sedang membuat password pada akun baru saja layar saya ghost touch aneh banget aplikasi lain normal hanya ini saja yang error,tolong perbaiki password akun layar ghost touch aneh banget normal error,"['tolong', 'perbaiki', 'password', 'akun', 'layar', 'ghost', 'touch', 'aneh', 'banget', 'normal', 'error']",tolong perbaiki password akun layar ghost touch aneh banget normal error,"['tolong', 'baik', 'password', 'akun', 'layar', 'ghost', 'touch', 'aneh', 'banget', 'normal', 'error']"
"login biometrik stuck di s&k doang, pdhal udh di klik ""Saya Setuju"" tapi ga muncul sidik jari nya, ribet kalo harus ngetik kata sandi tiap mau masuk",Negative,Autentikasi,login biometrik stuck di sk doang pdhal udh di klik Saya Setuju tapi ga muncul sidik jari nya ribet kalo harus ngetik kata sandi tiap mau masuk,login biometrik stuck di sk doang pdhal udh di klik saya setuju tapi ga muncul sidik jari nya ribet kalo harus ngetik kata sandi tiap mau masuk,login biometrik stuck di suka doang padahal sudah di klik saya setuju tapi tidak muncul sidik jari ya rumit kalau harus mengetik kata sandi tiap mau masuk,login biometrik stuck suka doang klik setuju tidak muncul sidik jari rumit mengetik sandi masuk,"['login', 'biometrik', 'stuck', 'suka', 'doang', 'klik', 'setuju', 'tidak', 'muncul', 'sidik', 'jari', 'rumit', 'mengetik', 'sandi', 'masuk']",login biometrik stuck suka doang klik setuju tidak muncul sidik jari rumit mengetik sandi masuk,"['login', 'biometrik', 'stuck', 'suka', 'doang', 'klik', 'tuju', 'tidak', 'muncul', 'sidik', 'jari', 'rumit', 'etik', 'sandi', 'masuk']"
Gagal login terus makin gajelas,Negative,Autentikasi,Gagal login terus makin gajelas,gagal login terus makin gajelas,gagal login terus semakin gak jelas,gagal login gak,"['gagal', 'login', 'gak']",gagal login gak,"['gagal', 'login', 'gak']"
min.ini gimana si!!aku udah bikin akun loh!tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi!!!!!!dan saya gabiaa login...ayolah yang bener aja.masa harus terus teruaan bikin aiun baru!!!!!!,Negative,Autentikasi,min ini gimana si aku udah bikin akun loh tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi dan saya gabiaa login ayolah yang bener aja masa harus terus teruaan bikin aiun baru,min ini gimana si aku udah bikin akun loh tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi dan saya gabiaa login ayolah yang bener aja masa harus terus teruaan bikin aiun baru,admin ini bagaimana sih aku sudah membuat akun lho tapi kenapa pas saya buka aplikasinya malah suruh membuat akun lagi dan saya tidak bisa login ayolah yang benar saja masa harus terus teruaan membuat akun baru saja,admin sih akun lho pas buka suruh akun tidak bisa login ayolah teruaan akun,"['admin', 'sih', 'akun', 'lho', 'pas', 'buka', 'suruh', 'akun', 'tidak', 'bisa', 'login', 'ayolah', 'teruaan', 'akun']",admin sih akun lho pas buka suruh akun tidak bisa login ayolah teruaan akun,"['admin', 'sih', 'akun', 'lho', 'pas', 'buka', 'suruh', 'akun', 'tidak', 'bisa', 'login', 'ayo', 'rua', 'akun']"
"kenapa verifikasi ektp gagal trus, padahal udah bener ktp sama terang",Negative,Autentikasi,kenapa verifikasi ektp gagal trus padahal udah bener ktp sama terang,kenapa verifikasi ektp gagal trus padahal udah bener ktp sama terang,kenapa verifikasi ektp gagal terus padahal sudah benar KTP sama terang,verifikasi ektp gagal KTP terang,"['verifikasi', 'ektp', 'gagal', 'KTP', 'terang']",verifikasi ektp gagal KTP terang,"['verifikasi', 'ektp', 'gagal', 'ktp', 'terang']"
"Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun, setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi, setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa, di suruh lanjut lagi besok, setelah besok nya saya lanjut kan mlh ttp tidak bisa, di suruh lanjut besok lagi, gitu aja terus",Negative,Autentikasi,Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa di suruh lanjut lagi besok setelah besok nya saya lanjut kan mlh ttp tidak bisa di suruh lanjut besok lagi gitu aja terus,waktu di bank di suruh buat wondr by bni sudah verifikasi akun setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa di suruh lanjut lagi besok setelah besok nya saya lanjut kan mlh ttp tidak bisa di suruh lanjut besok lagi gitu aja terus,waktu di bank di suruh buat wondr by bni sudah verifikasi akun setelah pulang dari bank saat mau transaksi menggunakan QRIS malah di suruh verifikasi akun lagi setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa di suruh lanjut lagi besok setelah besok ya saya lanjut kan malah tetap tidak bisa di suruh lanjut besok lagi seperti itu saja terus,bank suruh verifikasi akun pulang bank transaksi QRIS suruh verifikasi akun verifikasi pas verifikasi wajah tidak bisa suruh besok besok tidak bisa suruh besok,"['bank', 'suruh', 'verifikasi', 'akun', 'pulang', 'bank', 'transaksi', 'QRIS', 'suruh', 'verifikasi', 'akun', 'verifikasi', 'pas', 'verifikasi', 'wajah', 'tidak', 'bisa', 'suruh', 'besok', 'besok', 'tidak', 'bisa', 'suruh', 'besok']",bank suruh verifikasi akun pulang bank transaksi QRIS suruh verifikasi akun verifikasi pas verifikasi wajah tidak bisa suruh besok besok tidak bisa suruh besok,"['bank', 'suruh', 'verifikasi', 'akun', 'pulang', 'bank', 'transaksi', 'qris', 'suruh', 'verifikasi', 'akun', 'verifikasi', 'pas', 'verifikasi', 'wajah', 'tidak', 'bisa', 'suruh', 'besok', 'besok', 'tidak', 'bisa', 'suruh', 'besok']"
Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng. Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,Negative,Autentikasi,Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hilang bagaimana cara ya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,login hp handphone terdaftar hilang login handphone terbaru nomor handphone terbaru,"['login', 'hp', 'handphone', 'terdaftar', 'hilang', 'login', 'handphone', 'terbaru', 'nomor', 'handphone', 'terbaru']",login hp handphone terdaftar hilang login handphone terbaru nomor handphone terbaru,"['login', 'hp', 'handphone', 'daftar', 'hilang', 'login', 'handphone', 'baru', 'nomor', 'handphone', 'baru']"
"Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi , di coba lagi suruh munggu lagi besok, gitu aja terus sampai gajahnya menikah hadeeeh",Negative,Autentikasi,Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi  di coba lagi suruh munggu lagi besok gitu aja terus sampai gajahnya menikah hadeeeh,di sarankan oleh bank suruh pakai apl ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi  di coba lagi suruh munggu lagi besok gitu aja terus sampai gajahnya menikah hadeeeh,di sarankan oleh bank suruh pakai aplikasi ini tapi pada saat verifikasi surah ulang terus dan akhirnya tidak bisa harus menunggu besoknya lagi di coba lagi suruh menunggu lagi besok seperti itu saja terus sampai gajahnya menikah hadeeeh,sarankan bank suruh pakai verifikasi surah ulang tidak bisa menunggu besoknya coba suruh menunggu besok gajahnya menikah hadeeeh,"['sarankan', 'bank', 'suruh', 'pakai', 'verifikasi', 'surah', 'ulang', 'tidak', 'bisa', 'menunggu', 'besoknya', 'coba', 'suruh', 'menunggu', 'besok', 'gajahnya', 'menikah', 'hadeeeh']",sarankan bank suruh pakai verifikasi surah ulang tidak bisa menunggu besoknya coba suruh menunggu besok gajahnya menikah hadeeeh,"['saran', 'bank', 'suruh', 'pakai', 'verifikasi', 'surah', 'ulang', 'tidak', 'bisa', 'tunggu', 'besok', 'coba', 'suruh', 'tunggu', 'besok', 'gajah', 'meni', 'hadeeeh']"
Maaf sebelumnya kenapa mau login ga bisa terus?? Dan harus pembaruan baru bisa masuk. Padahal belum sebulan udah perbaruan. Dan sering error tiba-tiba padahal sinyal masih bagus,Negative,Autentikasi,Maaf sebelumnya kenapa mau login ga bisa terus Dan harus pembaruan baru bisa masuk Padahal belum sebulan udah perbaruan Dan sering error tiba tiba padahal sinyal masih bagus,maaf sebelumnya kenapa mau login ga bisa terus dan harus pembaruan baru bisa masuk padahal belum sebulan udah perbaruan dan sering error tiba tiba padahal sinyal masih bagus,maaf sebelumnya kenapa mau login tidak bisa terus dan harus pembaruan baru saja bisa masuk padahal belum sebulan sudah perbaruan dan sering error tiba tiba padahal sinyal masih bagus,maaf login tidak bisa pembaruan bisa masuk belum sebulan perbaruan sering error sinyal masih bagus,"['maaf', 'login', 'tidak', 'bisa', 'pembaruan', 'bisa', 'masuk', 'belum', 'sebulan', 'perbaruan', 'sering', 'error', 'sinyal', 'masih', 'bagus']",maaf login tidak bisa pembaruan bisa masuk belum sebulan perbaruan sering error sinyal masih bagus,"['maaf', 'login', 'tidak', 'bisa', 'baru', 'bisa', 'masuk', 'belum', 'bulan', 'baru', 'sering', 'error', 'sinyal', 'masih', 'bagus']"
"Ribet. Tiap mw tfr, minta log in dr awal, foto ktp, nengok kanaan, kiri.. trs otomatis klwr dr apk nya.. bukan memudahkan, tp bkin ribet. Untung mbanking blm ku hapus..",Negative,Autentikasi,Ribet Tiap mw tfr minta log in dr awal foto ktp nengok kanaan kiri trs otomatis klwr dr apk nya bukan memudahkan tp bkin ribet Untung mbanking blm ku hapus,ribet tiap mw tfr minta log in dr awal foto ktp nengok kanaan kiri trs otomatis klwr dr apk nya bukan memudahkan tp bkin ribet untung mbanking blm ku hapus,rumit tiap mau transfer meminta login ini dari awal foto KTP menengok kanan kiri terus otomatis keluar dari aplikasi ya bukan memudahkan tapi bikin rumit untung m banking belum ku hapus,rumit transfer login foto KTP menengok kanan kiri otomatis memudahkan bikin rumit untung m banking belum ku hapus,"['rumit', 'transfer', 'login', 'foto', 'KTP', 'menengok', 'kanan', 'kiri', 'otomatis', 'memudahkan', 'bikin', 'rumit', 'untung', 'm', 'banking', 'belum', 'ku', 'hapus']",rumit transfer login foto KTP menengok kanan kiri otomatis memudahkan bikin rumit untung m banking belum ku hapus,"['rumit', 'transfer', 'login', 'foto', 'ktp', 'tengok', 'kanan', 'kiri', 'otomatis', 'mudah', 'bikin', 'rumit', 'untung', 'm', 'banking', 'belum', 'ku', 'hapus']"
Eror terusvuntuk hp saya .2 hari tdk bisa login..tertulis ada kÃ¨ndala..tim kami lagi service.dan di coba lagi..,Negative,Autentikasi,Eror terusvuntuk hp saya  hari tdk bisa login tertulis ada kndala tim kami lagi service dan di coba lagi,eror terusvuntuk hp saya  hari tdk bisa login tertulis ada kndala tim kami lagi service dan di coba lagi,error terus untuk hp saya hari tidak bisa login tertulis ada kndala tim kami lagi service dan di coba lagi,error hp tidak bisa login tertulis kndala tim service coba,"['error', 'hp', 'tidak', 'bisa', 'login', 'tertulis', 'kndala', 'tim', 'service', 'coba']",error hp tidak bisa login tertulis kndala tim service coba,"['error', 'hp', 'tidak', 'bisa', 'login', 'tulis', 'kndala', 'tim', 'service', 'coba']"
"Aduh bni udh bener lama aja.. Tiba2 dipaksa ke wonder kualitas ga jelas logout sendiri,..",Negative,Autentikasi,Aduh bni udh bener lama aja Tiba dipaksa ke wonder kualitas ga jelas logout sendiri,aduh bni udh bener lama aja tiba dipaksa ke wonder kualitas ga jelas logout sendiri,aduh bni sudah benar lama saja tiba dipaksa ke Wondr kualitas tidak jelas logout sendiri,aduh lama dipaksa Wondr kualitas tidak logout,"['aduh', 'lama', 'dipaksa', 'Wondr', 'kualitas', 'tidak', 'logout']",aduh lama dipaksa Wondr kualitas tidak logout,"['aduh', 'lama', 'paksa', 'wondr', 'kualitas', 'tidak', 'logout']"
