content,content_stemmed,content_list,aspect_tokens,Tampilan,Authentikasi,Transaksi,aspects
Uda instal dan upgrade sampe ke bank..tetapi ketika mau pake selalu muncul keterangan: sesi ini sudah berakhir silahkan login ulang...pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu...g bisa login2....lebih mudah aplikasi bni mobile yang pertamaaa,"[install, upgrade, bank, pakai, muncul, terang, sesi, sila, login, ulang, aktivasi, bank, eh, login, muncul, terang, tidak, login, lebih, mudah, pertamaaa]","['install', 'upgrade', 'bank', 'pakai', 'muncul', 'terang', 'sesi', 'sila', 'login', 'ulang', 'aktivasi', 'bank', 'eh', 'login', 'muncul', 'terang', 'tidak', 'login', 'lebih', 'mudah', 'pertamaaa']","{'Tampilan': [], 'Authentikasi': ['login', 'login', 'login'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
Nyusahin nih aplikasi sekarang top up dana sehari cuma dibatesin 1jt..padahal di setingan Uda ku atur maximal tapi tetep aja waktu transaksi tulisannya melebihi batas limit harian,"[susah, nih, top, up, dana, hari, dibatesin, juta, ting, ku, atur, maximal, transaksi, tulis, lebih, batas, limit, hari]","['susah', 'nih', 'top', 'up', 'dana', 'hari', 'dibatesin', 'juta', 'ting', 'ku', 'atur', 'maximal', 'transaksi', 'tulis', 'lebih', 'batas', 'limit', 'hari']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Transfer gak berhasil padahal saldo ada,"[transfer, tidak, hasil, saldo]","['transfer', 'tidak', 'hasil', 'saldo']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer', 'saldo']}",NA,NA,Negative,Transaksi
"👎 1000X AUTO UNINSTAL MENDING PAKAI APLIKASI YG LAMA, DI WONDR GAK ADA KETERANGAN UANG MASUK DAN KELUAR DR SIAPA² NYA JD BUAT SAYA YG SERING ADA UANG MASUK DAN KELUAR DR KONSUMEN DIBIKIN BINGUNG SIAPA² YG UDH SETOR ATAU BAYAR, MOHON FITUR RIWAYAT TRANSAKSI TOLONG PERBAIKI SEPERTI APP LAWAS ADA NAMA PENGIRIM UANG & BS LIAT RIWAYAT 1 HARI, SEMINGGU,1 BLN, SERTA DITAMBAH FITUR BARU YG LEBIH CANGGIH.BUKANYA NGURANGI APA YG SUDAH ADA DI APP LAMA, KURANGNYA CM DI RIWAYAT TRANSAKSI SJ. SELEBIHNYA GOOD","[kali, auto, uninstall, lebih, baik, pakai, lama, tidak, terang, uang, masuk, sering, uang, masuk, konsumen, bikin, bingung, setor, bayar, mohon, fitur, riwayat, transaksi, tolong, baik, lawas, nama, kirim, uang, lihat, riwayat, minggu, tambah, fitur, lebih, canggih, buka, ngurangi, lama, kurang, riwayat, transaksi, lebih, good]","['kali', 'auto', 'uninstall', 'lebih', 'baik', 'pakai', 'lama', 'tidak', 'terang', 'uang', 'masuk', 'sering', 'uang', 'masuk', 'konsumen', 'bikin', 'bingung', 'setor', 'bayar', 'mohon', 'fitur', 'riwayat', 'transaksi', 'tolong', 'baik', 'lawas', 'nama', 'kirim', 'uang', 'lihat', 'riwayat', 'minggu', 'tambah', 'fitur', 'lebih', 'canggih', 'buka', 'ngurangi', 'lama', 'kurang', 'riwayat', 'transaksi', 'lebih', 'good']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang', 'uang', 'bayar', 'transaksi', 'uang', 'transaksi']}",NA,NA,Negative,Transaksi
Aplikasi paling bagus dan gampang untuk transaksi,"[bagus, gampang, transaksi]","['bagus', 'gampang', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Overall sudah good. Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,"[overall, good, tolong, tambah, fitur, cek, saldo, tanpa, login]","['overall', 'good', 'tolong', 'tambah', 'fitur', 'cek', 'saldo', 'tanpa', 'login']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['saldo']}",NA,Positive,Positive,"Authentikasi, Transaksi"
"bagus, sekarang notifikasi uang masuk atau keluar sudah lebih cepat muncul tanpa delay lama seperti dulu","[bagus, notifikasi, uang, masuk, lebih, cepat, muncul, tanpa, delay, lama]","['bagus', 'notifikasi', 'uang', 'masuk', 'lebih', 'cepat', 'muncul', 'tanpa', 'delay', 'lama']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang']}",NA,NA,Positive,Transaksi
Gak jelas aplikasi saran BNI ini . Saya menggunakan transaksi melalui qiris. Di pemberitahuan nya pembayaran melalui qiris belum hasil . Tau tau saldo udah berkurang. Pulsa 30 rb habis buat nelpon call center bni . Tanggapan nya 20 hari kerja . Hadehhh parahhh banget,"[tidak, saran, transaksi, qiris, pemberitahuan, bayar, qiris, belum, hasil, tau, tau, saldo, kurang, pulsa, ribu, habis, nelpon, call, center, tanggap, kerja, hadehhh, parahhh, banget]","['tidak', 'saran', 'transaksi', 'qiris', 'pemberitahuan', 'bayar', 'qiris', 'belum', 'hasil', 'tau', 'tau', 'saldo', 'kurang', 'pulsa', 'ribu', 'habis', 'nelpon', 'call', 'center', 'tanggap', 'kerja', 'hadehhh', 'parahhh', 'banget']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'bayar', 'saldo']}",NA,NA,Negative,Transaksi
Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali..,"[sangat, bagusnnamun, masuk, privasi, wajah, susah, kali]","['sangat', 'bagusnnamun', 'masuk', 'privasi', 'wajah', 'susah', 'kali']","{'Tampilan': [], 'Authentikasi': ['wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Gak recommended sekelas BNI, cardless tidak ada, login ulang setelah ganti device susah bgd pas verifikasi wajah, suruh ulang tiap hari, sering bgd error juga, menghambat aktifitas👎","[tidak, recommended, kelas, cardless, tidak, login, ulang, ganti, device, susah, banget, pas, verifikasi, wajah, suruh, ulang, sering, banget, error, hambat, aktivitas]","['tidak', 'recommended', 'kelas', 'cardless', 'tidak', 'login', 'ulang', 'ganti', 'device', 'susah', 'banget', 'pas', 'verifikasi', 'wajah', 'suruh', 'ulang', 'sering', 'banget', 'error', 'hambat', 'aktivitas']","{'Tampilan': [], 'Authentikasi': ['login', 'verifikasi', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Tolong perbaiki, masa saat saya sedang membuat password pada akun baru, layar sya ghost touch aneh banget, aplikasi lain normal hanya ini saja yg error","[tolong, baik, password, akun, layar, ghost, touch, aneh, banget, normal, error]","['tolong', 'baik', 'password', 'akun', 'layar', 'ghost', 'touch', 'aneh', 'banget', 'normal', 'error']","{'Tampilan': [], 'Authentikasi': ['akun'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"login biometrik stuck di s&k doang, pdhal udh di klik ""Saya Setuju"" tapi ga muncul sidik jari nya, ribet kalo harus ngetik kata sandi tiap mau masuk","[login, biometrik, stuck, suka, doang, klik, tuju, tidak, muncul, sidik, jari, rumit, etik, sandi, masuk]","['login', 'biometrik', 'stuck', 'suka', 'doang', 'klik', 'tuju', 'tidak', 'muncul', 'sidik', 'jari', 'rumit', 'etik', 'sandi', 'masuk']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Gagal login terus makin gajelas,"[gagal, login, tidak]","['gagal', 'login', 'tidak']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
min.ini gimana si!!aku udah bikin akun loh!tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi!!!!!!dan saya gabiaa login...ayolah yang bener aja.masa harus terus teruaan bikin aiun baru!!!!!!,"[admin, sih, akun, lho, pas, buka, suruh, akun, tidak, login, ayo, rua, akun]","['admin', 'sih', 'akun', 'lho', 'pas', 'buka', 'suruh', 'akun', 'tidak', 'login', 'ayo', 'rua', 'akun']","{'Tampilan': [], 'Authentikasi': ['akun', 'akun', 'login', 'akun'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
mana fitur tarik tunai nya??,"[fitur, tarik, tunai]","['fitur', 'tarik', 'tunai']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['tarik', 'tunai']}",NA,NA,Negative,Transaksi
"kenapa verifikasi ektp gagal trus, padahal udah bener ktp sama terang","[verifikasi, ektp, gagal, ktp, terang]","['verifikasi', 'ektp', 'gagal', 'ktp', 'terang']","{'Tampilan': [], 'Authentikasi': ['verifikasi'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Wonder saya tidak bisa terbaca tf orng lain bosku,"[tidak, baca, transfer, orang, bos]","['tidak', 'baca', 'transfer', 'orang', 'bos']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer']}",NA,NA,Negative,Transaksi
"Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun, setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi, setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa, di suruh lanjut lagi besok, setelah besok nya saya lanjut kan mlh ttp tidak bisa, di suruh lanjut besok lagi, gitu aja terus","[bank, suruh, verifikasi, akun, pulang, bank, transaksi, qris, suruh, verifikasi, akun, verifikasi, pas, verifikasi, wajah, tidak, suruh, besok, besok, tidak, suruh, besok]","['bank', 'suruh', 'verifikasi', 'akun', 'pulang', 'bank', 'transaksi', 'qris', 'suruh', 'verifikasi', 'akun', 'verifikasi', 'pas', 'verifikasi', 'wajah', 'tidak', 'suruh', 'besok', 'besok', 'tidak', 'suruh', 'besok']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'akun', 'verifikasi', 'akun', 'verifikasi', 'verifikasi', 'wajah'], 'Transaksi': ['transaksi']}",NA,Positive,Positive,"Authentikasi, Transaksi"
Ayo menunya dilengkapi lagi masak gag ada mobile tunai kayak bni mobile,"[ayo, menu, lengkap, masak, tidak, tunai, kayak]","['ayo', 'menu', 'lengkap', 'masak', 'tidak', 'tunai', 'kayak']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['tunai']}",NA,NA,Positive,Transaksi
"Saya abis tranfer uang ke bang lain tapi gagal, saldonya belum balik lagi ke rekening BNI nya, total tranfer nya 7jt, tolong min bantu","[habis, transfer, uang, abang, gagal, saldo, belum, rekening, total, transfer, juta, tolong, admin, bantu]","['habis', 'transfer', 'uang', 'abang', 'gagal', 'saldo', 'belum', 'rekening', 'total', 'transfer', 'juta', 'tolong', 'admin', 'bantu']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer', 'uang', 'saldo', 'rekening', 'transfer']}",NA,NA,Positive,Transaksi
Ga bisa di pakai transaksi,"[tidak, pakai, transaksi]","['tidak', 'pakai', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Aplikasi yg buruk Setelah setor pertama Rekening di bekukan secara sepihak Saldo tertinggal di rekening,"[buruk, setor, rekening, beku, saldo, tinggal, rekening]","['buruk', 'setor', 'rekening', 'beku', 'saldo', 'tinggal', 'rekening']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['rekening', 'saldo', 'rekening']}",NA,NA,Negative,Transaksi
Di atas jam 23.00 transaksi gagal terus. Tolong di perbaiki,"[jam, transaksi, gagal, tolong, baik]","['jam', 'transaksi', 'gagal', 'tolong', 'baik']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng. Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,"[login, hp, handphone, daftar, hilang, login, handphone, baru, nomor, handphone, baru]","['login', 'hp', 'handphone', 'daftar', 'hilang', 'login', 'handphone', 'baru', 'nomor', 'handphone', 'baru']","{'Tampilan': [], 'Authentikasi': ['login', 'daftar', 'login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
gimana si kok gak bisa transaksi lagi perbaikan mulu udah lama lagi kapan baiknya coba,"[sih, tidak, transaksi, perbaikan, melulu, lama, baik, coba]","['sih', 'tidak', 'transaksi', 'perbaikan', 'melulu', 'lama', 'baik', 'coba']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi , di coba lagi suruh munggu lagi besok, gitu aja terus sampai gajahnya menikah hadeeeh","[saran, bank, suruh, pakai, verifikasi, surah, ulang, tidak, tunggu, besok, coba, suruh, tunggu, besok, gajah, meni, hadeeeh]","['saran', 'bank', 'suruh', 'pakai', 'verifikasi', 'surah', 'ulang', 'tidak', 'tunggu', 'besok', 'coba', 'suruh', 'tunggu', 'besok', 'gajah', 'meni', 'hadeeeh']","{'Tampilan': [], 'Authentikasi': ['verifikasi'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Maaf sebelumnya kenapa mau login ga bisa terus?? Dan harus pembaruan baru bisa masuk. Padahal belum sebulan udah perbaruan. Dan sering error tiba-tiba padahal sinyal masih bagus,"[maaf, login, tidak, baru, masuk, belum, bulan, baru, sering, error, sinyal, masih, bagus]","['maaf', 'login', 'tidak', 'baru', 'masuk', 'belum', 'bulan', 'baru', 'sering', 'error', 'sinyal', 'masih', 'bagus']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Ribet. Tiap mw tfr, minta log in dr awal, foto ktp, nengok kanaan, kiri.. trs otomatis klwr dr apk nya.. bukan memudahkan, tp bkin ribet. Untung mbanking blm ku hapus..","[rumit, transfer, login, foto, ktp, tengok, kanan, kiri, otomatis, mudah, bikin, rumit, untung, m, belum, ku, hapus]","['rumit', 'transfer', 'login', 'foto', 'ktp', 'tengok', 'kanan', 'kiri', 'otomatis', 'mudah', 'bikin', 'rumit', 'untung', 'm', 'belum', 'ku', 'hapus']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['transfer']}",NA,Positive,Positive,"Authentikasi, Transaksi"
Eror terusvuntuk hp saya .2 hari tdk bisa login..tertulis ada kèndala..tim kami lagi service.dan di coba lagi..,"[error, hp, tidak, login, tulis, kndala, tim, service, coba]","['error', 'hp', 'tidak', 'login', 'tulis', 'kndala', 'tim', 'service', 'coba']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Aduh bni udh bener lama aja.. Tiba2 dipaksa ke wonder kualitas ga jelas logout sendiri,..","[aduh, lama, paksa, kualitas, tidak, logout]","['aduh', 'lama', 'paksa', 'kualitas', 'tidak', 'logout']","{'Tampilan': [], 'Authentikasi': ['logout'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Aplikasi tidak berguna, mau masuk saja dipersulit padahal sudah benar nomor hp dan ktp. Tinggal verifikasi wajah tidak pernah berhasil.","[tidak, guna, masuk, sulit, nomor, hp, ktp, tinggal, verifikasi, wajah, tidak, hasil]","['tidak', 'guna', 'masuk', 'sulit', 'nomor', 'hp', 'ktp', 'tinggal', 'verifikasi', 'wajah', 'tidak', 'hasil']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
GALAAIIIII TIDAK ADA FITUR TARIK TUNAI MOBILE BNI,"[galaaiiiii, tidak, fitur, tarik, tunai]","['galaaiiiii', 'tidak', 'fitur', 'tarik', 'tunai']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['tarik', 'tunai']}",NA,NA,Negative,Transaksi
Tidak bisa melihat berita atau keterangan transaksi yang masuk apa / berita transfer masuk tidak ada.😇😇🤭🤦 Beda dengan aplikasi yang lama Lebih bagus aplikasi BNI yg lama uraian lebih detail berita atau keterangan transaksi nya.,"[tidak, berita, terang, transaksi, masuk, berita, transfer, masuk, tidak, beda, lama, lebih, bagus, lama, urai, lebih, detail, berita, terang, transaksi]","['tidak', 'berita', 'terang', 'transaksi', 'masuk', 'berita', 'transfer', 'masuk', 'tidak', 'beda', 'lama', 'lebih', 'bagus', 'lama', 'urai', 'lebih', 'detail', 'berita', 'terang', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'transfer', 'transaksi']}",NA,NA,Negative,Transaksi
"Jelek banget bagusan yang dulu, dari pertama bikin ga bisa ferivikasi wajah, sampai saya ganti kamera biar jelas, tetep ga bisa,","[jelek, banget, bagus, tidak, verifikasi, wajah, ganti, kamera, tidak]","['jelek', 'banget', 'bagus', 'tidak', 'verifikasi', 'wajah', 'ganti', 'kamera', 'tidak']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Pusiing pake wondr ribet banget lupa pasword mentok di verifikadi wajah sampai capek saya ngedipin mata eh habis waktu terus...ulangi lg foto ktp..wajah lg...kedipin mata lg...haduuuh mending pake mbanking bni,"[pusiing, pakai, rumit, banget, lupa, password, mentok, verifikadi, wajah, capek, kedip, mata, eh, habis, ulang, foto, ktp, wajah, pin, mata, aduh, lebih, baik, pakai, m]","['pusiing', 'pakai', 'rumit', 'banget', 'lupa', 'password', 'mentok', 'verifikadi', 'wajah', 'capek', 'kedip', 'mata', 'eh', 'habis', 'ulang', 'foto', 'ktp', 'wajah', 'pin', 'mata', 'aduh', 'lebih', 'baik', 'pakai', 'm']","{'Tampilan': [], 'Authentikasi': ['wajah', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Ganti hp login lagi mau masuk susah amet perasaan verfikasi wajah ya,"[ganti, hp, login, masuk, susah, amet, asa, verifikasi, wajah]","['ganti', 'hp', 'login', 'masuk', 'susah', 'amet', 'asa', 'verifikasi', 'wajah']","{'Tampilan': [], 'Authentikasi': ['login', 'verifikasi', 'wajah'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
